finOrg_id,name,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,milestones,relationships,years_invested
f:1,Greylock Partners,USA,Menlo Park,SF Bay,2000-03-01,2013-12-05,307,196,0,71,13.76
f:10,Mission Ventures,USA,San Diego,San Diego,2004-10-26,2013-11-22,58,33,0,11,9.07
f:100,"Kapor Enterprises, Inc.",USA,unknown,Unknown,2004-10-28,2006-03-01,2,1,0,1,1.34
f:1000,Speed Ventures,unknown,unknown,unknown,,,0,0,1,1,
f:10000,3x5 Special Opportunity Partners,unknown,unknown,unknown,2012-10-23,2013-10-29,4,4,0,0,1.02
f:10001,Salem Partners,USA,Los Angeles,Los Angeles,2012-10-23,2012-10-23,1,1,0,3,0.0
f:10002,3T Capital,FRA,PARIS Cedex 13,Paris,2012-10-25,2013-09-30,3,3,0,0,0.93
f:10003,Merieux Developpement,FRA,LYON,Lyon,2012-10-26,2013-05-06,2,2,0,0,0.53
f:10004,Aquasourca,FRA,VILLEURBANNE Cedex,unknown,2012-10-26,2012-10-26,1,1,0,0,0.0
f:10005,Texas Entrepreneur Networks,USA,unknown,Texas - Other,2012-10-26,2012-10-26,1,1,0,0,0.0
f:10007,Precedent Investments,unknown,unknown,unknown,2012-10-26,2012-10-26,1,1,0,0,0.0
f:10008,Navitrio,ISR,Ra'anana,Raanana,2012-10-27,2012-10-27,1,1,0,0,0.0
f:1001,Burch Investment Group,USA,Nashville,Nashville,2007-01-01,2007-01-01,1,1,0,1,0.0
f:10011,DRAW,unknown,unknown,unknown,,,0,0,0,1,
f:10012,The Bollard Group,USA,Boston,Boston,2000-01-01,2000-01-01,1,1,0,1,0.0
f:10013,EJ Funds,unknown,unknown,unknown,2012-10-29,2012-10-29,1,1,0,0,0.0
f:10014,Kuzari Group,USA,New York,New York,2012-10-29,2013-10-28,2,2,0,0,1.0
f:10015,IMI.VC,RUS,Moscow,Moscow,2013-02-05,2013-09-04,2,2,4,3,0.58
f:10019,Eurofin Ventures,CHE,CH-1002,unknown,2011-08-01,2011-08-01,1,1,0,5,0.0
f:1002,Alven Capital,FRA,Paris,Paris,2005-03-29,2013-11-21,43,36,1,7,8.65
f:10020,East Valley Ventures,CAN,Saint John,Saint John,2012-10-01,2012-11-16,2,2,0,0,0.13
f:10021,National Research Foundation,SGP,unknown,Singapore - Other,2011-11-30,2013-10-09,7,7,1,0,1.86
f:10022,Venture Partners,unknown,unknown,unknown,2012-07-01,2013-12-08,3,3,0,3,1.44
f:10023,Yumedeals,IND,Hyderabad,Hyderabad,,,0,0,0,1,
f:10024,Tron Capital,USA,Boston,Boston,2012-10-31,2012-10-31,1,1,0,0,0.0
f:10027,Branford Castle Private Equity,USA,New York,New York,2012-10-30,2012-10-30,1,1,0,0,0.0
f:10028,Startup Alliance,unknown,unknown,unknown,2012-10-31,2012-10-31,1,1,0,0,0.0
f:10029,Redpoint eVentures Brazil,BRA,Sao Paulo,Sao Paulo,,,0,0,0,4,
f:1003,Alten Capital,unknown,unknown,unknown,2008-04-12,2008-04-12,1,1,0,1,0.0
f:10030,Canyon Creek Capital,USA,Santa Monica,Los Angeles,2012-11-01,2013-09-17,3,3,1,2,0.88
f:10031,Karlin Ventures,USA,Los Angeles,Los Angeles,2012-08-18,2013-09-25,13,13,1,0,1.1
f:10032,n/ab,unknown,unknown,unknown,,,0,0,0,1,
f:10033,n/aa,unknown,unknown,unknown,,,0,0,0,2,
f:10036,SharesPost Investment Management,USA,San Bruno,SF Bay,,,0,0,2,2,
f:10038,B Dash Ventures,JPN,Tokyo,Tokyo,2012-11-02,2013-02-13,2,2,1,0,0.28
f:10039,BIGLOBE Capital,JPN,Tokyo,Tokyo,2012-11-02,2012-11-02,1,1,0,0,0.0
f:10040,Gumi Ventures,unknown,unknown,unknown,2012-11-02,2012-11-02,1,1,0,0,0.0
f:10041,MusiGraphics Advertising,USA,Houston,Houston,,,0,0,0,1,
f:10042,Riyadh Valley Company,SAU,Riyadh,Riyadh,,,0,0,0,0,
f:10043,Altimeter Capital,USA,Boston,Boston,2012-11-10,2013-10-04,3,3,0,6,0.9
f:10044,Archimedia Investments,unknown,unknown,unknown,2012-11-05,2012-11-05,1,1,0,0,0.0
f:10046,LaunchTime,unknown,unknown,unknown,2010-09-01,2010-09-01,1,1,0,1,0.0
f:10047,CHP,CHN,Shanghai,Shanghai,,,0,0,0,1,
f:10048,Camp One Ventures,USA,unknown,California - Other,2013-11-12,2013-11-12,1,1,0,2,0.0
f:10049,Biotechnology Value Fund,USA,San Francisco,SF Bay,2012-11-05,2013-09-03,2,2,0,0,0.83
f:1005,Grey Ventures,USA,New York,New York,2003-11-17,2008-04-14,2,1,0,1,4.41
f:10050,Allegro Venture Partners,unknown,unknown,unknown,2012-04-01,2013-11-05,6,5,0,1,1.6
f:10051,LAUNCHub,BGR,Sofia,Sofia,2012-10-01,2013-09-01,26,25,2,4,0.92
f:10052,Berrier Capital,ITA,Milano,Milano,2012-08-06,2012-08-06,1,1,0,0,0.0
f:10053,HFG Wealth Management,USA,The Woodlands,Houston,,,0,0,0,1,
f:10054,Big Sur Ventures,ESP,Madrid,Madrid,2012-11-06,2013-06-14,2,2,0,1,0.6
f:10055,Necotium,unknown,unknown,unknown,2012-11-06,2012-11-06,1,1,0,0,0.0
f:10056,Crystal Horse Investments,SGP,unknown,Singapore - Other,2011-03-01,2012-12-09,7,6,1,1,1.78
f:10057,JCB Investments,unknown,unknown,unknown,2012-11-06,2012-11-06,1,1,0,0,0.0
f:10058,La Jolla Holding,unknown,unknown,unknown,2012-11-06,2012-11-06,1,1,0,0,0.0
f:10059,ISF Capital Développement 2015,unknown,unknown,unknown,2009-06-01,2009-06-01,1,1,0,0,0.0
f:1006,Creathor Venture Management,DEU,Bad Homburg,Bad Homburg,2007-01-01,2013-10-22,34,24,4,16,6.81
f:10061,WFA Global Investments,USA,New York,New York,2012-11-07,2012-11-07,1,1,0,0,0.0
f:10062,OPCVM 360,unknown,unknown,unknown,,,0,0,0,1,
f:10063,Pacific Advantage Capital,HKG,Central,Hong Kong,2013-07-12,2013-07-29,2,1,0,1,0.05
f:10064,Duet Partners Ltd,GBR,London,London,,,0,0,0,3,
f:10066,ELIAN INVESTMENT,unknown,unknown,unknown,,,0,0,0,1,
f:10067,VMS Capital,USA,San Diego,San Diego,,,0,0,0,2,
f:10069,Euroserve GmbH,unknown,unknown,unknown,2012-06-01,2012-06-01,1,1,0,0,0.0
f:1007,i2E,USA,Oklahoma City,Oklahoma City,2008-10-01,2013-11-06,10,10,0,2,5.1
f:10071,Liberty Global Ventures,USA,Englewood,Denver,2011-08-29,2013-10-22,6,5,0,1,2.15
f:10074,Mundivox,unknown,unknown,unknown,,,0,0,0,1,
f:10075,Good Works Ventures,unknown,unknown,unknown,2012-11-10,2012-11-10,1,1,0,0,0.0
f:10076,Agate Medical Investments,ISR,Tel Aviv,Tel Aviv,2012-11-09,2012-11-09,1,1,0,0,0.0
f:10078,Xerox UK Ltd,unknown,unknown,unknown,,,0,0,0,1,
f:10079,Lion Fund,USA,Fort Wayne,Fort Wayne,,,0,0,0,2,
f:1008,Madrone Capital Partners,USA,Menlo Park,SF Bay,2008-04-15,2013-10-09,11,7,0,2,5.48
f:10081,Deciens Capital,USA,San Francisco,SF Bay,2012-09-28,2012-11-14,2,2,0,2,0.13
f:10082,Inimiti,ISR,unknown,Israel - Other,2012-11-15,2013-06-11,2,2,0,3,0.57
f:10083,Cedar St Capital,USA,New York,New York,2012-03-01,2013-08-13,2,1,0,0,1.45
f:10084,Trebuchet Investments,unknown,unknown,unknown,2012-03-01,2013-08-13,2,1,0,0,1.45
f:10085,Padova Investments,unknown,unknown,unknown,2012-03-01,2013-08-13,2,1,0,0,1.45
f:10086,JUMPSTART CAPITAL,USA,Los Angeles,Los Angeles,,,0,0,0,0,
f:10087,Fraser McCombs Capital,USA,Boulder,Denver,2013-01-15,2013-05-10,2,2,0,2,0.31
f:10089,Windsor Brokers,CYP,Limassol,Limassol,,,0,0,0,0,
f:1009,Croghan Investments,USA,Niwot,Niwot,2008-04-15,2013-12-10,4,4,0,1,5.65
f:10090,Arpheus GmbH,unknown,unknown,unknown,,,0,0,0,1,
f:10092,UK Financials,GBR,London,London,,,0,0,0,0,
f:10093,Fundación José Manuel Entrecanales,ESP,Madrid,Madrid,2012-01-01,2013-02-13,2,2,0,0,1.12
f:10094,iBank,USA,Costa Mesa,Los Angeles,,,0,0,0,0,
f:10096,Red Sea Venture Partners,unknown,unknown,unknown,2012-11-15,2012-11-15,1,1,0,0,0.0
