funding_round_id,startup_id,finOrg_id,funded_at,funding_round_type,funding_round_code,raised_amount,raised_currency_code,is_first_round,is_last_round
1,c:4,f:1,2006-12-01,series-b,b,8500000.0,USD,0,0
1,c:4,f:2,2006-12-01,series-b,b,8500000.0,USD,0,0
3,c:5,f:4,2005-05-01,series-a,a,12700000.0,USD,0,0
4,c:5,f:1,2006-04-01,series-b,b,27500000.0,USD,0,0
4,c:5,f:5,2006-04-01,series-b,b,27500000.0,USD,0,0
4,c:5,f:6,2006-04-01,series-b,b,27500000.0,USD,0,0
4,c:5,f:3181,2006-04-01,series-b,b,27500000.0,USD,0,0
5,c:7299,f:3,2006-05-01,series-b,b,10500000.0,USD,0,0
6,c:9,f:6,2007-01-01,series-a,a,1500000.0,USD,0,1
7,c:9,f:7,2007-03-01,series-b,b,10000000.0,USD,0,0
8,c:13,f:29,2005-12-01,series-a,seed,1500000.0,USD,0,0
9,c:14,f:48,2007-05-01,series-a,a,6300000.0,USD,0,1
9,c:14,f:83,2007-05-01,series-a,a,6300000.0,USD,0,1
11,c:15,f:14,2007-01-01,angel,angel,40000.0,USD,0,0
12,c:16,f:8,2007-06-01,series-b,b,40000000.0,USD,0,1
12,c:16,f:10,2007-06-01,series-b,b,40000000.0,USD,0,1
12,c:16,f:11,2007-06-01,series-b,b,40000000.0,USD,0,1
12,c:16,f:1262,2007-06-01,series-b,b,40000000.0,USD,0,1
13,c:16,f:12,2007-06-01,series-a,a,13500000.0,USD,0,1
13,c:16,f:10,2007-06-01,series-a,a,13500000.0,USD,0,1
13,c:16,f:11,2007-06-01,series-a,a,13500000.0,USD,0,1
14,c:15,f:14,2007-06-01,series-a,a,3710000.0,USD,0,0
14,c:15,f:13,2007-06-01,series-a,a,3710000.0,USD,0,0
16,c:18,f:636,2007-01-01,series-b,b,5700000.0,USD,0,0
16,c:18,f:62,2007-01-01,series-b,b,5700000.0,USD,0,0
18,c:22,f:16,2007-06-01,series-a,a,1500000.0,USD,0,1
19,c:23,f:17,2007-05-09,series-a,a,45000000.0,USD,1,1
19,c:23,f:18,2007-05-09,series-a,a,45000000.0,USD,1,1
20,c:27,f:17,2002-11-01,series-a,a,3800000.0,USD,0,1
20,c:27,f:3181,2002-11-01,series-a,a,3800000.0,USD,0,1
21,c:27,f:17,2003-07-01,series-b,b,8500000.0,USD,0,0
21,c:27,f:728,2003-07-01,series-b,b,8500000.0,USD,0,0
21,c:27,f:1080,2003-07-01,series-b,b,8500000.0,USD,0,0
22,c:30,f:23,2007-06-01,series-a,a,12500000.0,USD,1,0
22,c:30,f:6,2007-06-01,series-a,a,12500000.0,USD,1,0
