finOrg_id,name,country_code,region,investment_rounds,invested_companies,milestones,relationships,years_invested
1,Greylock Partners,USA,SF Bay,307,196,0,71,13.76
10,Mission Ventures,USA,San Diego,58,33,0,11,9.07
100,"Kapor Enterprises, Inc.",USA,unknown,2,1,0,1,1.34
10000,3x5 Special Opportunity Partners,unknown,unknown,4,4,0,0,1.02
10001,Salem Partners,USA,Los Angeles,1,1,0,3,0.0
10002,3T Capital,FRA,Paris,3,3,0,0,0.93
10003,Merieux Developpement,FRA,Lyon,2,2,0,0,0.53
10004,Aquasourca,FRA,unknown,1,1,0,0,0.0
10005,Texas Entrepreneur Networks,USA,Texas - Other,1,1,0,0,0.0
10007,Precedent Investments,unknown,unknown,1,1,0,0,0.0
10008,Navitrio,ISR,Raanana,1,1,0,0,0.0
1001,Burch Investment Group,USA,Nashville,1,1,0,1,0.0
10012,The Bollard Group,USA,Boston,1,1,0,1,0.0
10013,EJ Funds,unknown,unknown,1,1,0,0,0.0
10014,Kuzari Group,USA,New York,2,2,0,0,1.0
10015,IMI.VC,RUS,Moscow,2,2,4,3,0.58
10019,Eurofin Ventures,CHE,unknown,1,1,0,5,0.0
1002,Alven Capital,FRA,Paris,43,36,1,7,8.65
10020,East Valley Ventures,CAN,Saint John,2,2,0,0,0.13
10021,National Research Foundation,SGP,Singapore - Other,7,7,1,0,1.86
10022,Venture Partners,unknown,unknown,3,3,0,3,1.44
10024,Tron Capital,USA,Boston,1,1,0,0,0.0
10027,Branford Castle Private Equity,USA,New York,1,1,0,0,0.0
10028,Startup Alliance,unknown,unknown,1,1,0,0,0.0
1003,Alten Capital,unknown,unknown,1,1,0,1,0.0
10030,Canyon Creek Capital,USA,Los Angeles,3,3,1,2,0.88
10031,Karlin Ventures,USA,Los Angeles,13,13,1,0,1.1
10038,B Dash Ventures,JPN,Tokyo,2,2,1,0,0.28
10039,BIGLOBE Capital,JPN,Tokyo,1,1,0,0,0.0
10040,Gumi Ventures,unknown,unknown,1,1,0,0,0.0
10043,Altimeter Capital,USA,Boston,3,3,0,6,0.9
10044,Archimedia Investments,unknown,unknown,1,1,0,0,0.0
10046,LaunchTime,unknown,unknown,1,1,0,1,0.0
10048,Camp One Ventures,USA,California - Other,1,1,0,2,0.0
10049,Biotechnology Value Fund,USA,SF Bay,2,2,0,0,0.83
1005,Grey Ventures,USA,New York,2,1,0,1,4.41
10050,Allegro Venture Partners,unknown,unknown,6,5,0,1,1.6
10051,LAUNCHub,BGR,Sofia,26,25,2,4,0.92
10052,Berrier Capital,ITA,Milano,1,1,0,0,0.0
10054,Big Sur Ventures,ESP,Madrid,2,2,0,1,0.6
10055,Necotium,unknown,unknown,1,1,0,0,0.0
10056,Crystal Horse Investments,SGP,Singapore - Other,7,6,1,1,1.78
10057,JCB Investments,unknown,unknown,1,1,0,0,0.0
10058,La Jolla Holding,unknown,unknown,1,1,0,0,0.0
10059,ISF Capital Développement 2015,unknown,unknown,1,1,0,0,0.0
1006,Creathor Venture Management,DEU,Bad Homburg,34,24,4,16,6.81
10061,WFA Global Investments,USA,New York,1,1,0,0,0.0
10063,Pacific Advantage Capital,HKG,Hong Kong,2,1,0,1,0.05
10069,Euroserve GmbH,unknown,unknown,1,1,0,0,0.0
1007,i2E,USA,Oklahoma City,10,10,0,2,5.1
10071,Liberty Global Ventures,USA,Denver,6,5,0,1,2.15
10075,Good Works Ventures,unknown,unknown,1,1,0,0,0.0
10076,Agate Medical Investments,ISR,Tel Aviv,1,1,0,0,0.0
1008,Madrone Capital Partners,USA,SF Bay,11,7,0,2,5.48
10081,Deciens Capital,USA,SF Bay,2,2,0,2,0.13
10082,Inimiti,ISR,Israel - Other,2,2,0,3,0.57
10083,Cedar St Capital,USA,New York,2,1,0,0,1.45
10084,Trebuchet Investments,unknown,unknown,2,1,0,0,1.45
10085,Padova Investments,unknown,unknown,2,1,0,0,1.45
10087,Fraser McCombs Capital,USA,Denver,2,2,0,2,0.31
1009,Croghan Investments,USA,Niwot,4,4,0,1,5.65
10093,Fundación José Manuel Entrecanales,ESP,Madrid,2,2,0,0,1.12
10096,Red Sea Venture Partners,unknown,unknown,1,1,0,0,0.0
101,BlueRun Ventures,USA,SF Bay,87,55,0,27,13.62
1010,Overbrook Entertainment,unknown,unknown,4,4,0,1,5.47
10100,Militello Capital,USA,Lansdowne,4,4,0,0,0.84
10101,Adventure Capital,AUS,Melbourne,1,1,1,6,0.0
10102,Martlet,GBR,London,1,1,0,0,0.0
10103,Harland Financial Solutions,USA,Orlando,1,1,0,0,0.0
10108,NISPO Funds Ltd,IRL,Belfast,1,1,0,0,0.0
10110,Jumpstart Ventures,USA,Chicago,5,4,1,0,1.45
10111,Jade Global Investments,unknown,unknown,1,1,0,0,0.0
10114,Seedstartup,ARE,Dubai,1,1,0,1,0.0
1012,Arba Seed Investment Group,USA,SF Bay,1,1,0,1,0.0
10121,Numoda Capital Innovations,USA,Philadelphia,2,2,0,0,0.08
10122,AZ Furnace Accelerator,USA,Phoenix,5,5,0,1,0.08
10123,Fidelity Growth Partners Asia,CHN,Beijing,2,2,0,0,0.3
10124,Oaktree Capital Management,USA,Los Angeles,1,1,0,7,0.0
10125,Pulver's Micro Angel Fund,unknown,unknown,2,1,0,0,0.96
10126,PanAfrican Investment Co.,unknown,unknown,1,1,0,0,0.0
10127,Mercia Fund Management,GBR,Henley-in-Arden,12,11,0,0,7.09
10129,Hennessey Capital,USA,Detroit,3,2,0,0,0.92
10133,Mediterra PE,unknown,unknown,1,1,0,0,0.0
10135,LionBird,ISR,Tel Aviv,5,4,0,0,1.27
10137,Leopard Rock Capital,GBR,London,1,1,0,0,0.0
10138,Javest Investment Fund,NLD,Amsterdam,3,3,0,2,3.54
10139,New World Private Equity,GBR,London,1,1,0,0,0.0
10140,TrentoRISE,ITA,unknown,1,1,0,0,0.0
10144,Softbank Ventures Korea,KOR,Seoul,17,16,1,10,5.39
10146,Enerdigm Ventures,USA,SF Bay,2,1,1,1,3.75
1015,Dolphin Equity Partners,USA,New York,17,9,0,3,10.21
10152,First Generation Capital,unknown,unknown,1,1,0,0,0.0
10153,Abele Ventures,unknown,unknown,1,1,0,0,0.0
10154,Propeller Venture Accelerator,IRL,Dublin,4,4,0,1,1.25
10155,India Venture Partners,USA,Washington DC,2,1,0,0,0.97
10156,Carrick Capital Partners,USA,SF Bay,1,1,0,2,0.0
10158,MP Beteiligungs-GmbH,unknown,unknown,1,1,0,0,0.0
10159,Luminor Capital,SGP,Singapore - Other,1,1,0,0,0.0
1016,Index Capital,USA,Kansas City,1,1,0,0,0.0
10162,TEC Ventures,unknown,unknown,2,2,1,0,0.76
10163,Maverick Angels,USA,Los Angeles,2,2,0,1,0.07
10164,Rockies Venture Club,USA,Denver,1,1,0,3,0.0
10167,Frontier Investments Group,unknown,unknown,1,1,0,0,0.0
10168,Saama Capital,MUS,Ebene,3,3,1,0,0.33
1017,Founder's Co-op,USA,Seattle,50,42,0,72,5.39
10170,UMIP Premier Fund,unknown,unknown,1,1,0,0,0.0
10173,Satus VC,unknown,unknown,2,2,0,0,0.31
10174,RTAventures,POL,Warszawa,3,3,1,1,0.76
10175,BroadOak Capital Partners,USA,Washington DC,1,1,0,1,0.0
10176,RSL Venture Partners,unknown,unknown,5,5,0,1,0.71
