startup_id,finOrg_id,funded_at,funding_round_type,raised_amount,is_first_round,is_last_round
4,1,2006-12-01,series-b,8500000.0,0,0
4,2,2006-12-01,series-b,8500000.0,0,0
5,4,2005-05-01,series-a,12700000.0,0,0
5,1,2006-04-01,series-b,27500000.0,0,0
5,5,2006-04-01,series-b,27500000.0,0,0
5,6,2006-04-01,series-b,27500000.0,0,0
5,3181,2006-04-01,series-b,27500000.0,0,0
7299,3,2006-05-01,series-b,10500000.0,0,0
9,6,2007-01-01,series-a,1500000.0,0,1
9,7,2007-03-01,series-b,10000000.0,0,0
13,29,2005-12-01,series-a,1500000.0,0,0
14,48,2007-05-01,series-a,6300000.0,0,1
14,83,2007-05-01,series-a,6300000.0,0,1
15,14,2007-01-01,angel,40000.0,0,0
16,8,2007-06-01,series-b,40000000.0,0,1
16,10,2007-06-01,series-b,40000000.0,0,1
16,11,2007-06-01,series-b,40000000.0,0,1
16,1262,2007-06-01,series-b,40000000.0,0,1
16,12,2007-06-01,series-a,13500000.0,0,1
16,10,2007-06-01,series-a,13500000.0,0,1
16,11,2007-06-01,series-a,13500000.0,0,1
15,14,2007-06-01,series-a,3710000.0,0,0
15,13,2007-06-01,series-a,3710000.0,0,0
18,636,2007-01-01,series-b,5700000.0,0,0
18,62,2007-01-01,series-b,5700000.0,0,0
22,16,2007-06-01,series-a,1500000.0,0,1
23,17,2007-05-09,series-a,45000000.0,1,1
23,18,2007-05-09,series-a,45000000.0,1,1
27,17,2002-11-01,series-a,3800000.0,0,1
27,3181,2002-11-01,series-a,3800000.0,0,1
27,17,2003-07-01,series-b,8500000.0,0,0
27,728,2003-07-01,series-b,8500000.0,0,0
27,1080,2003-07-01,series-b,8500000.0,0,0
30,23,2007-06-01,series-a,12500000.0,1,0
30,6,2007-06-01,series-a,12500000.0,1,0
30,168,2007-06-01,series-a,12500000.0,1,0
31,24,2006-06-01,series-c+,10520000.0,0,0
31,26,2006-06-01,series-c+,10520000.0,0,0
31,25,2006-06-01,series-c+,10520000.0,0,0
31,26,2004-09-01,series-b,6500000.0,0,0
34,127,2006-05-01,series-a,2500000.0,0,1
34,67,2006-05-01,series-a,2500000.0,0,1
34,127,2007-02-01,series-b,5500000.0,0,0
34,67,2007-02-01,series-b,5500000.0,0,0
27,17,2004-04-01,series-c+,7000000.0,0,0
27,1080,2004-04-01,series-c+,7000000.0,0,0
27,262,2007-02-01,series-c+,9000000.0,1,0
35,29,2007-06-01,series-a,5000000.0,0,1
35,18,2007-06-01,series-a,5000000.0,0,1
35,30,2007-06-01,series-a,5000000.0,0,1
35,31,2007-06-01,series-a,5000000.0,0,1
38,32,2007-07-01,series-a,2250000.0,0,1
38,26,2007-07-01,series-a,2250000.0,0,1
38,242,2007-07-01,series-a,2250000.0,0,1
40,34,2006-04-01,series-b,12500000.0,0,0
40,35,2006-04-01,series-b,12500000.0,0,0
40,421,2007-08-01,series-c+,25000000.0,0,0
40,36,2007-08-01,series-c+,25000000.0,0,0
40,37,2007-08-01,series-c+,25000000.0,0,0
40,34,2007-08-01,series-c+,25000000.0,0,0
43,12,2007-06-01,angel,1000000.0,1,1
44,36,2006-10-01,series-c+,30000000.0,0,0
44,1287,2006-10-01,series-c+,30000000.0,0,0
44,29,2005-12-01,series-a,5000000.0,0,0
44,38,2005-12-01,series-a,5000000.0,0,0
44,1396,2005-12-01,series-a,5000000.0,0,0
44,38,2006-04-01,series-b,26000000.0,0,0
53,41,2007-05-01,series-b,6850000.0,0,0
53,42,2006-10-01,series-a,6000000.0,0,1
46,44,2006-03-01,series-a,6000000.0,0,1
46,43,2006-03-01,series-a,6000000.0,0,1
54,31,2007-02-01,angel,700000.0,0,1
54,31,2007-06-01,series-a,4000000.0,1,0
54,45,2007-06-01,series-a,4000000.0,1,0
58,48,2007-06-01,series-c+,20000000.0,0,0
58,46,2007-06-01,series-c+,20000000.0,0,0
58,5,2007-06-01,series-c+,20000000.0,0,0
58,2,2007-06-01,series-c+,20000000.0,0,0
58,262,2007-06-01,series-c+,20000000.0,0,0
58,4,2005-04-01,series-a,7500000.0,0,1
58,48,2005-04-01,series-a,7500000.0,0,1
58,4,2006-02-01,series-b,12500000.0,0,0
58,48,2006-02-01,series-b,12500000.0,0,0
58,46,2006-02-01,series-b,12500000.0,0,0
58,2,2006-02-01,series-b,12500000.0,0,0
55,51,2006-07-01,series-b,7000000.0,1,0
55,50,2006-07-01,series-b,7000000.0,1,0
55,49,2006-07-01,series-b,7000000.0,1,0
65,52,2007-01-01,series-a,3000000.0,1,1
69,45,2007-02-15,series-a,1500000.0,0,1
72,55,2006-01-01,series-a,4000000.0,1,1
1896,57,2007-01-01,series-a,900000.0,0,1
1896,56,2007-06-01,series-b,3300000.0,0,0
1896,57,2007-06-01,series-b,3300000.0,0,0
80,62,2005-08-01,series-b,19500000.0,0,0
80,61,2005-08-01,series-b,19500000.0,0,0
80,3,2005-08-01,series-b,19500000.0,0,0
80,62,2006-07-01,series-c+,18000000.0,0,0
80,61,2006-07-01,series-c+,18000000.0,0,0
80,63,2006-07-01,series-c+,18000000.0,0,0
80,3,2006-07-01,series-c+,18000000.0,0,0
80,62,2005-01-01,series-a,8000000.0,0,1
80,3,2005-01-01,series-a,8000000.0,0,1
82,1,2006-09-01,series-a,1000000.0,0,1
82,3181,2006-09-01,series-a,1000000.0,0,1
82,1,2007-06-01,series-b,8000000.0,1,0
84,29,2006-06-01,series-a,5000000.0,0,0
84,41,2006-06-01,series-a,5000000.0,0,0
84,41,2007-04-01,series-b,20000000.0,0,0
84,262,2007-04-01,series-b,20000000.0,0,0
86,64,2007-01-01,series-a,13000000.0,1,0
86,13,2007-01-01,series-a,13000000.0,1,0
89,120,2006-12-01,series-a,7000000.0,1,1
89,121,2006-12-01,series-a,7000000.0,1,1
90,42,2007-01-01,series-a,4000000.0,0,1
90,61,2007-01-01,series-a,4000000.0,0,1
91,116,2007-01-01,series-a,4250000.0,0,0
91,408,2007-01-01,series-a,4250000.0,0,0
93,26,2007-04-01,series-a,3100000.0,1,0
85,17,2006-10-01,series-a,5000000.0,0,1
63,17,2005-11-01,series-a,3500000.0,0,1
63,17,2006-04-01,series-b,8000000.0,1,0
7299,47,2005-03-01,series-a,3000000.0,0,1
60,1132,2007-05-01,series-c+,20000000.0,0,0
62,26,2004-03-01,series-b,18800000.0,0,0
62,18,2004-03-01,series-b,18800000.0,0,0
73,65,2006-02-01,series-a,6000000.0,1,1
96,7,2007-02-27,series-b,7000000.0,0,0
96,68,2007-02-27,series-b,7000000.0,0,0
96,66,2007-02-27,series-b,7000000.0,0,0
96,67,2007-02-27,series-b,7000000.0,0,0
96,68,2006-11-29,series-a,6200000.0,0,1
96,66,2006-11-29,series-a,6200000.0,0,1
96,67,2006-11-29,series-a,6200000.0,0,1
97,70,2007-04-25,series-b,9000000.0,1,0
97,69,2007-04-25,series-b,9000000.0,1,0
97,71,2007-04-25,series-b,9000000.0,1,0
97,70,2007-04-25,series-a,3500000.0,1,0
97,69,2007-04-25,series-a,3500000.0,1,0
4,1,2005-10-01,series-a,2800000.0,0,1
4,2,2005-10-01,series-a,2800000.0,0,1
4,4850,2005-10-01,series-a,2800000.0,0,1
4,3181,2005-10-01,series-a,2800000.0,0,1
25732,72,2007-05-24,series-b,6000000.0,0,1
25732,13,2007-05-24,series-b,6000000.0,0,1
25732,235,2007-05-24,series-b,6000000.0,0,1
105,73,2006-05-01,series-b,3000000.0,1,0
105,1287,2006-05-01,series-b,3000000.0,1,0
105,75,2005-04-01,series-a,500000.0,0,1
105,74,2005-04-01,series-a,500000.0,0,1
105,76,2005-04-01,series-a,500000.0,0,1
107,77,2006-02-01,series-b,6500000.0,0,0
107,79,2006-02-01,series-b,6500000.0,0,0
107,50,2006-02-01,series-b,6500000.0,0,0
107,80,2006-02-01,series-b,6500000.0,0,0
107,1557,2006-08-01,series-c+,8000000.0,0,0
106,82,2007-06-29,series-a,5350000.0,0,0
106,81,2007-06-29,series-a,5350000.0,0,0
109,29,2007-05-08,series-a,1200000.0,0,0
109,1396,2007-05-08,series-a,1200000.0,0,0
109,446,2007-05-08,series-a,1200000.0,0,0
112,30,2007-07-01,series-a,4000000.0,1,1
113,48,2006-10-01,series-c+,10000000.0,0,0
113,42,2005-10-01,series-b,5000000.0,0,0
47,84,2007-07-01,series-c+,44000000.0,0,0
121,176,2008-06-02,series-a,1000000.0,1,1
121,1166,2008-06-02,series-a,1000000.0,1,1
121,85,2008-06-02,series-a,1000000.0,1,1
126,87,2007-02-01,series-c+,15000000.0,1,0
126,86,2007-02-01,series-c+,15000000.0,1,0
126,88,2007-02-01,series-c+,15000000.0,1,0
126,73,2007-02-01,series-c+,15000000.0,1,0
126,73,2004-01-01,series-b,8000000.0,0,0
128,89,2004-10-01,series-a,1500000.0,0,1
128,90,2004-10-01,series-a,1500000.0,0,1
128,1,2005-07-01,series-b,7000000.0,0,0
